11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
11:32:08.083 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:09.078 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:10.078 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:11.059 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:12.070 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:13.066 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:14.076 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:15.115 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:16.122 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:17.101 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:18.121 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:19.116 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:20.138 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:21.118 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:22.109 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:23.141 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:24.118 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:25.147 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:26.148 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:27.153 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:28.144 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:29.151 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:30.161 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:31.162 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:32.195 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:33.201 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:34.185 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:35.189 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:36.189 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:37.180 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:38.224 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:39.196 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:40.192 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:41.218 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:42.209 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:43.203 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:44.226 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:45.234 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:46.248 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:47.227 -> 	75LFlow rate: 0.00L/min	Output Liquid Quantity: 75941mL
11:32:48.260 -> 	75LFlow rate: 5.11L/min	Output Liquid Quantity: 76026mL
11:32:49.270 -> 	76LFlow rate: 21.53L/min	Output Liquid Quantity: 76384mL
11:32:50.246 -> 	76LFlow rate: 23.31L/min	Output Liquid Quantity: 76772mL
11:32:51.272 -> 	76LFlow rate: 23.75L/min	Output Liquid Quantity: 77167mL
11:32:52.248 -> 	77LFlow rate: 25.75L/min	Output Liquid Quantity: 77596mL
11:32:53.270 -> 	77LFlow rate: 25.09L/min	Output Liquid Quantity: 78014mL
11:32:54.301 -> 	78LFlow rate: 22.64L/min	Output Liquid Quantity: 78391mL
11:32:55.285 -> 	78LFlow rate: 21.09L/min	Output Liquid Quantity: 78742mL
11:32:56.291 -> 	78LFlow rate: 25.09L/min	Output Liquid Quantity: 79160mL
11:32:57.282 -> 	79LFlow rate: 25.31L/min	Output Liquid Quantity: 79581mL
11:32:58.289 -> 	79LFlow rate: 24.64L/min	Output Liquid Quantity: 79991mL
11:32:59.309 -> 	79LFlow rate: 24.64L/min	Output Liquid Quantity: 80401mL
11:33:00.325 -> 	80LFlow rate: 25.09L/min	Output Liquid Quantity: 80819mL
11:33:01.307 -> 	80LFlow rate: 25.95L/min	Output Liquid Quantity: 81251mL
11:33:02.330 -> 	81LFlow rate: 21.31L/min	Output Liquid Quantity: 81606mL
11:33:03.332 -> 	81LFlow rate: 21.09L/min	Output Liquid Quantity: 81957mL
11:33:04.330 -> 	81LFlow rate: 23.75L/min	Output Liquid Quantity: 82352mL
11:33:05.326 -> 	82LFlow rate: 21.76L/min	Output Liquid Quantity: 82714mL
11:33:06.357 -> 	82LFlow rate: 24.20L/min	Output Liquid Quantity: 83117mL
11:33:07.346 -> 	83LFlow rate: 23.31L/min	Output Liquid Quantity: 83505mL
11:33:08.348 -> 	83LFlow rate: 36.41L/min	Output Liquid Quantity: 84111mL
11:33:09.369 -> 	84LFlow rate: 51.73L/min	Output Liquid Quantity: 84973mL
11:33:10.346 -> 	84LFlow rate: 4.22L/min	Output Liquid Quantity: 85043mL
11:33:11.371 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:12.364 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:13.376 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:14.354 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:15.377 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:16.364 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:17.398 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:18.405 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:19.393 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:20.376 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:21.408 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:22.388 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:23.405 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:24.429 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:25.413 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:26.423 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:27.428 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:28.419 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:29.454 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:30.462 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:31.453 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:32.458 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:33.463 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:34.471 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:35.450 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:36.487 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:37.489 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:38.465 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:39.497 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:40.480 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:41.496 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:42.490 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:43.531 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:44.501 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:45.541 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:46.525 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:47.510 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:48.546 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:49.523 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:50.555 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:51.542 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:52.567 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:53.551 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:54.584 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:55.568 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:56.556 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:57.590 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:58.577 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:33:59.561 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:00.592 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:01.576 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:02.611 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:03.591 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:04.618 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:05.604 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:06.623 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:07.620 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:08.613 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:09.647 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:10.631 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:11.644 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:12.637 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:13.668 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:14.649 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:15.663 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:16.640 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:17.674 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:18.661 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:19.657 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:20.689 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:21.667 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:22.668 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:23.694 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:24.695 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:25.720 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:26.707 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:27.695 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:28.727 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:29.711 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:30.745 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:31.732 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:32.718 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:33.751 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:34.738 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:35.771 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:36.756 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:37.785 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:38.779 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:39.764 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:40.787 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:41.781 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:42.783 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:43.812 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:44.790 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:45.813 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:46.805 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:47.800 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:48.831 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:49.818 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:50.816 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:51.810 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:52.834 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:53.828 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:54.847 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:55.824 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:56.862 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:57.842 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:58.879 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:34:59.873 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:00.859 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:01.898 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:02.883 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:03.868 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:04.899 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:05.875 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:06.900 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:07.926 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:08.910 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:09.902 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:10.935 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:11.919 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:12.941 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:13.918 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:14.948 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:15.941 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:16.931 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:17.956 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:18.940 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:19.971 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:20.955 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:21.986 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:22.964 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:23.995 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:24.979 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:26.009 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:26.999 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:27.986 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:29.024 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:30.011 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:30.998 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:32.033 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:33.019 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:34.044 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:35.020 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:36.051 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:37.033 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:38.058 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:39.050 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:40.062 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:41.047 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:42.072 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:43.065 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:44.088 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:45.079 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:46.073 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:47.101 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:48.087 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:49.072 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:50.112 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:51.096 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:52.089 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:53.129 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:54.106 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:55.140 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:56.109 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:57.133 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:58.157 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:35:59.139 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:00.170 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:01.164 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:02.141 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:03.166 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:04.163 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:05.154 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:06.197 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:07.175 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:08.205 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:09.189 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:10.173 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:11.204 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:12.188 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:13.213 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:14.197 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:15.216 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:16.240 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:17.233 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:18.244 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:19.228 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:20.266 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:21.245 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:22.229 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:23.253 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:24.262 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:25.246 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:26.275 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:27.261 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:28.294 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:29.281 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:30.268 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:31.300 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:32.285 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:33.318 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:34.306 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:35.293 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:36.328 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:37.317 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:38.314 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:39.339 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:40.324 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:41.348 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:42.326 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:43.328 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:44.359 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:45.341 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:46.372 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:47.345 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:48.368 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:49.397 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:50.370 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:51.401 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:52.408 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:53.385 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:54.425 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:55.403 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:56.427 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:57.411 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:58.442 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:36:59.448 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:37:00.425 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:37:01.457 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:37:02.451 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:37:03.429 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:37:04.442 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
11:37:05.436 -> 	85LFlow rate: 0.00L/min	Output Liquid Quantity: 85043mL
